1,2.0315,0.2247,0.00031433,0.00045881,149.75,8,36,40,36.296,33.833,0.17611,0.707,0.5,0.1309,0.4,21,40.2,50.129,51.784,0.62,1,-1
2,5.1679,0.23055,0.00011143,0.00015674,390.83,8,36,40,27.35,24.821,0.28824,0.707,0.5,0.1309,0.4,21,40.2,44.296,45.378,0.62,1,-1
3,3.9927,0.25527,0.00017675,0.00032321,198.72,8,36,40,30.978,26.22,0.49489,0.707,0.5,0.1309,0.4,21,40.2,47.362,48.058,0.62,1,-1
4,3.7803,0.30594,0.00029647,0.00035605,178.9,8,36,40,30.337,26.029,0.54886,0.707,0.5,0.1309,0.4,21,40.2,48.734,51.036,0.62,1,-1
5,3.0339,0.23463,0.00019277,0.00044888,146.55,8,36,40,32.845,29.036,0.54435,0.707,0.5,0.1309,0.4,21,40.2,47.131,48.356,0.62,1,-1
6,4.9542,0.28616,0.0001759,0.00023914,251.21,8,36,40,25.881,22.608,0.50181,0.707,0.5,0.1309,0.4,21,40.2,44.22,47.052,0.62,1,-1
7,4.4917,0.22619,6.3136e-05,0.00024348,251.09,8,36,40,27.2,23.316,0.48754,0.707,0.5,0.1309,0.4,21,40.2,42.512,43.321,0.62,1,-1
9,3.6619,0.20904,0.00014232,0.00017708,362.65,8,36,40,30.966,28.723,0.17012,0.707,0.5,0.1309,0.4,21,40.2,43.333,45.911,0.62,1,-1
10,4.0153,0.29697,0.00022408,0.0003201,187.7,8,36,40,25.892,23.817,0.58182,0.707,0.5,0.1309,0.4,21,40.2,48.033,49.337,0.62,1,-1
11,3.8146,0.17941,0.00013988,0.0002637,250.32,8,36,40,33.115,31.528,0.26066,0.707,0.5,0.1309,0.4,21,40.2,45.141,46.424,0.62,1,-1
12,3.5617,0.17299,0.00013978,0.00025482,257.7,8,36,40,32.707,32.104,0.27574,0.707,0.5,0.1309,0.4,21,40.2,43.054,45.756,0.62,1,-1
13,2.5329,0.17932,0.00011589,0.00043027,150.32,8,36,40,31.522,30.92,0.57752,0.707,0.5,0.1309,0.4,21,40.2,42.562,44.935,0.62,1,-1
14,3.6628,0.21769,0.00018083,0.00034751,189.87,8,36,40,33.084,30.058,0.42203,0.707,0.5,0.1309,0.4,21,40.2,44.596,47.288,0.62,1,-1
15,2.9196,0.17761,0.00019749,0.00036195,186.84,8,36,40,35.029,33.958,0.24585,0.707,0.5,0.1309,0.4,21,40.2,44.746,47.737,0.62,1,-1
16,4.2869,0.21767,0.00017433,0.00017663,357.63,8,36,40,29.694,29.155,0.25229,0.707,0.5,0.1309,0.4,21,40.2,44.549,47.113,0.62,1,-1
17,4.8691,0.27943,0.00017698,0.00013677,443.58,8,36,40,26.619,22.361,0.23718,0.707,0.5,0.1309,0.4,21,40.2,47.09,47.975,0.62,1,-1
18,4.2091,0.23737,0.00021228,0.00029566,219.71,8,36,40,31.861,29.278,0.41713,0.707,0.5,0.1309,0.4,21,40.2,47.289,48.848,0.62,1,-1
19,5.3713,0.29138,0.0002362,0.00019769,313.06,8,36,40,28.13,24.441,0.38007,0.707,0.5,0.1309,0.4,21,40.2,49.484,50.049,0.62,1,-1
20,1.3568,0.2344,0.0003146,0.00091128,76.705,8,36,40,37.682,33.256,0.26575,0.707,0.5,0.1309,0.4,21,40.2,50.16,51.798,0.62,1,-1
21,5.5396,0.27914,0.00014716,0.00015904,378.44,8,36,40,26.02,21.201,0.33779,0.707,0.5,0.1309,0.4,21,40.2,44.445,46.389,0.62,1,-1
22,3.5957,0.27613,0.00022801,0.00037159,168.18,8,36,40,28.869,26.314,0.58974,0.707,0.5,0.1309,0.4,21,40.2,48.375,49.528,0.62,1,-1
23,1.9386,0.17357,0.00010583,0.00070753,95.021,8,36,40,34.562,31.138,0.61514,0.707,0.5,0.1309,0.4,21,40.2,43.69,45.016,0.62,1,-1
24,1.2468,0.19521,0.00031886,0.0010979,63.586,8,36,40,37.579,36.397,0.4274,0.707,0.5,0.1309,0.4,21,40.2,48.433,51.385,0.62,1,-1
25,3.6743,0.24463,0.000235,0.00016436,387.66,8,36,40,30.36,28.896,0.16152,0.707,0.5,0.1309,0.4,21,40.2,46.723,49.178,0.62,1,-1
26,4.7058,0.25453,0.00022963,0.00025481,250.45,8,36,40,30.485,28.236,0.41238,0.707,0.5,0.1309,0.4,21,40.2,47.195,49.202,0.62,1,-1
27,4.3115,0.2068,0.00016808,0.00025783,249.94,8,36,40,31.235,30.183,0.38256,0.707,0.5,0.1309,0.4,21,40.2,47.312,47.837,0.62,1,-1
28,3.7514,0.17221,9.3569e-05,0.00021094,306.84,8,36,40,31.578,30.161,0.24427,0.707,0.5,0.1309,0.4,21,40.2,41.424,43.906,0.62,1,-1
30,5.4148,0.28511,0.00019087,0.00016724,366.96,8,36,40,27.486,22.866,0.31833,0.707,0.5,0.1309,0.4,21,40.2,46.492,48.111,0.62,1,-1
31,2.138,0.1943,0.00014226,0.00064564,104.81,8,36,40,35.08,30.787,0.54961,0.707,0.5,0.1309,0.4,21,40.2,45.563,46.624,0.62,1,-1
32,2.9415,0.33399,0.0003292,0.00045454,133.16,8,36,40,26.441,24.451,0.65086,0.707,0.5,0.1309,0.4,21,40.2,49.522,51.887,0.62,1,-1
33,3.2101,0.20272,0.00017037,0.00026031,255.5,8,36,40,33.707,30.764,0.18653,0.707,0.5,0.1309,0.4,21,40.2,44.794,47.089,0.62,1,-1
